Id,SalePrice
1461,131479
1462,154280
1463,179645
1464,182980
1465,203739
1466,186680
1467,168646
1468,175628
1469,183018
1470,131410
1471,205199
1472,97899
1473,108209
1474,154081
1475,130041
1476,337575
1477,255465
1478,304774
1479,278203
1480,436587
1481,298777
1482,209302
1483,188127
1484,178103
1485,180879
1486,199027
1487,291484
1488,241908
1489,211858
1490,219712
1491,200431
1492,106791
1493,177851
1494,289706
1495,286570
1496,226938
1497,184403
1498,157384
1499,155691
1500,163456
1501,175444
1502,163975
1503,280121
1504,234988
1505,215038
1506,182180
1507,241466
1508,190380
1509,166215
1510,150873
1511,149781
1512,175234
1513,153952
1514,163719
1515,201200
1516,158733
1517,154163
1518,144074
1519,227155
1520,139539
1521,144058
1522,161979
1523,119129
1524,121211
1525,132335
1526,132927
1527,111894
1528,124734
1529,139325
1530,170096
1531,135869
1532,112847
1533,149671
1534,120744
1535,155430
1536,123905
1537,96083
1538,177814
1539,207668
1540,132754
1541,138630
1542,144407
1543,187997
1544,89954
1545,111928
1546,125756
1547,135231
1548,128528
1549,117397
1550,141289
1551,118812
1552,145984
1553,154473
1554,126393
1555,165929
1556,102333
1557,124560
1558,108481
1559,126953
1560,155736
1561,167954
1562,129403
1563,125609
1564,160247
1565,153774
1566,228439
1567,94277
1568,220258
1569,160879
1570,142345
1571,134027
1572,147850
1573,240272
1574,133636
1575,226276
1576,229121
1577,199783
1578,151192
1579,146998
1580,186658
1581,142179
1582,128800
1583,326046
1584,238462
1585,141595
1586,91757
1587,114920
1588,147282
1589,109679
1590,132940
1591,110417
1592,129918
1593,121566
1594,141190
1595,133575
1596,217838
1597,173449
1598,192512
1599,189280
1600,191738
1601,90449
1602,117801
1603,99750
1604,277262
1605,253497
1606,166602
1607,167775
1608,213134
1609,197089
1610,165769
1611,146705
1612,183288
1613,171627
1614,128446
1615,95985
1616,92217
1617,94620
1618,125332
1619,140792
1620,177902
1621,148679
1622,147545
1623,285594
1624,221470
1625,135531
1626,168313
1627,186055
1628,270725
1629,175525
1630,329626
1631,202297
1632,229913
1633,177225
1634,186655
1635,180342
1636,166403
1637,182105
1638,201657
1639,175906
1640,231857
1641,177169
1642,225319
1643,230618
1644,224792
1645,184009
1646,158636
1647,163740
1648,142722
1649,140062
1650,122973
1651,123189
1652,97580
1653,100025
1654,155509
1655,147531
1656,150352
1657,153998
1658,157340
1659,135751
1660,152094
1661,405235
1662,342040
1663,355987
1664,440396
1665,304371
1666,336159
1667,323793
1668,338817
1669,292210
1670,337774
1671,268846
1672,414640
1673,286470
1674,255030
1675,194499
1676,196267
1677,209723
1678,446064
1679,363118
1680,325733
1681,256851
1682,314790
1683,191541
1684,182489
1685,181036
1686,177853
1687,176536
1688,191142
1689,195802
1690,190109
1691,181858
1692,252263
1693,177016
1694,179565
1695,170100
1696,264386
1697,170456
1698,313183
1699,307363
1700,250384
1701,266249
1702,256736
1703,258092
1704,295190
1705,227758
1706,424546
1707,218979
1708,215860
1709,257193
1710,228319
1711,267165
1712,266473
1713,276238
1714,211906
1715,202291
1716,182913
1717,169273
1718,144177
1719,211857
1720,242953
1721,170063
1722,140688
1723,159750
1724,212618
1725,230699
1726,199352
1727,180827
1728,191228
1729,171122
1730,166105
1731,126730
1732,132455
1733,132307
1734,134784
1735,136473
1736,125427
1737,314666
1738,218029
1739,254519
1740,220991
1741,186088
1742,173556
1743,174499
1744,293441
1745,211298
1746,223985
1747,213898
1748,199702
1749,160435
1750,147372
1751,213811
1752,126546
1753,155125
